segment_id,TP2_mean,TP2_std,TP3_mean,TP3_std,Oil_temperature_mean,Oil_temperature_std,Motor_current_mean,Motor_current_std,duration_minutes,target
1,0.5559117582175166,2.234389475745263,8.973878520479447,0.5572300930699348,55.75133098021913,3.4803003207750645,1.325339179351423,2.0037546455974313,2784.733333333333,0
3,0.5509805194805201,2.224200072243285,8.970592352092352,0.5577322022618606,56.60193903318904,1.3755734610324266,1.3520193001443006,2.0543240074656537,457.75,0
5,0.5553512375853513,2.2309509729680075,8.967564439788951,0.5537512758288147,56.62891667636561,3.7645616901028283,1.2680468265052762,1.9742414697458146,40034.083333333336,0
7,1.4952691157297344,3.444134171506481,9.126399570519212,0.621466979899332,65.69574353861493,5.138536181943493,2.6010915330930287,2.2315920754756555,2585.233333333333,0
9,1.3900063861463727,3.350244166563002,9.132679752389908,0.6393002041952895,63.74774770803949,6.494045169596173,2.3148571442563863,2.2804711513404023,9880.783333333333,0
11,1.3864201252028754,3.352121378785479,9.137235335033619,0.5970188575456056,64.85277069325295,4.579579138001558,2.436203918386274,2.2489457979177985,712.4,0
13,1.6328161884635575,3.4747546317790268,8.991252655764676,0.642915553100828,61.1419919298793,7.590394912544933,1.96186651679975,2.386712252254291,27745.966666666667,0
15,0.9412319963010065,2.81763914823025,9.037125187839555,0.5864618160351398,61.23641486533349,4.669954531001782,1.8071578430239277,2.2305065888785647,1429.0,0
17,0.9025470940890854,2.756644514695937,9.024971262944062,0.590746197662243,61.23699648218798,5.069482926899859,1.6537018158846555,2.1778692127046266,8653.266666666666,0
19,0.8827712095697119,2.7450795435451343,9.010331455780733,0.582044249203742,59.373768944892866,5.508170513909852,1.661111506300447,2.1839672632182623,6487.516666666666,0
21,1.6196847764838473,3.5282959845739374,9.055676699849737,0.599172268542377,58.37711600770098,7.333338790768673,1.9205077244552968,2.393860592940687,9204.683333333332,1
23,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
25,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.5833333333333334,1
27,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
29,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
31,-0.0180000000000006,0.0,8.248,0.0,49.45000000000001,0.0,0.04,0.0,0.9833333333333333,1
33,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
35,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
37,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.7833333333333333,1
39,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
41,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.7833333333333333,1
43,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
45,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
47,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.5833333333333334,1
49,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
51,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.5833333333333334,1
53,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
55,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
57,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.5833333333333334,1
59,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
61,-0.0180000000000006,0.0,8.248,0.0,49.45000000000001,0.0,0.04,0.0,0.9833333333333333,1
63,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
65,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
67,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.7833333333333333,1
69,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
71,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
73,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.7833333333333333,1
75,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
77,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.6,1
79,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.8,1
81,-0.0180000000000006,0.0,8.248,0.0,49.45000000000001,0.0,0.04,0.0,1.0,1
83,-0.0180000000000006,0.0,8.248,0.0,49.45,0.0,0.04,0.0,0.7833333333333333,1
85,-0.0180000000000006,0.0,8.248,0.0,49.45000000000001,0.0,0.04,0.0,0.4,1
